feature,importance
TB3SMFFM,0.06542082787918856
TB6SMFFM,0.06394064036696075
T10YFFM,0.06335612913955778
AAAFFM,0.06257787639815085
T5YFFM,0.05972102346336902
BAAFFM,0.04315598763244642
TERM_SPREAD_GS10_TB3MS,0.04141482734808064
T1YFFM,0.03915500507897822
PERMIT_12M_LOG_GROWTH,0.032589064960458415
AWHMAN,0.031926175641923446
COMPAPFFx,0.0266136822182435
CES0600000007,0.025494860724526915
M2REAL,0.024847306798765886
DMANEMP,0.016703636012817765
MANEMP,0.016378867808281433
IPMANSICS,0.01358877063014663
UNRATE_12M_CHANGE,0.01300682135072857
INDPRO,0.012573785315736429
PAYEMS,0.012508877029062471
USGOOD,0.01228256577954355
HWIURATIO,0.01210449661609278
UNRATE_3M_CHANGE,0.011503445823905988
CUMFNS,0.011108235269769024
CREDIT_SPREAD_BAA_AAA,0.010172247823652723
HWI,0.00984475466814328
SRVPRD,0.00937812340504706
IPDMAT,0.00909379062879373
USTPU,0.008555767431877316
PERMIT,0.008408316898529845
VIXCLSx,0.008131311707274918
HOUST,0.00637277315517374
PERMITS,0.006188531129400939
HOUSTW,0.0060392349649323485
USCONS,0.005707116350717649
PERMITNE,0.005455154229128355
PERMITMW,0.0053636470727434745
W875RX1,0.005338662082824845
PERMITW,0.0053260502729457065
HOUSTS,0.005036228735916767
CES1021000001,0.004809107127316407
CPIAUCSL,0.004776278940282156
CP3Mx,0.00439298848380418
BUSINVx,0.004293040778013363
IPMAT,0.00422584576257906
AMDMUOx,0.004007861728411642
BAA,0.004000732400113303
RPI,0.0038827577733207405
FEDFUNDS,0.0037659463189995473
IPDCONGD,0.0035089269500652733
TB6MS,0.0034865218744854834
HOUSTMW,0.0034858460077679394
UEMP15OV,0.003316307513638935
S&P div yield,0.003292965403877118
USWTRADE,0.0032496267286005365
USTRADE,0.0032292603415488173
IPFUELS,0.003180866532071873
NDMANEMP,0.0030931590288022495
TB3MS,0.0030293753080760876
IPFPNSS,0.0030018455194529945
WPSID61,0.00297068622522847
IPBUSEQ,0.002842801917675528
IPNMAT,0.0028237126378528555
BOGMBASE,0.0027468005441267196
CUSR0000SAS,0.0027227240320314345
IPFINAL,0.002493839209658178
UEMP27OV,0.0022820073893272397
UEMP5TO14,0.0022599266280810726
CLAIMSx,0.002259140158312875
CUSR0000SA0L5,0.002213091609475038
GS1,0.0021997377770070314
TOTRESNS,0.002176352965404668
HOUSTNE,0.0021643663815505794
USGOVT,0.0021285852451544606
CE16OV,0.0020983570002626895
AAA,0.002085298085053233
S&P PE ratio,0.002068643443184119
NONBORRES,0.0019051851516582213
CES3000000008,0.0018823962902449996
S&P 500,0.0018491052613596119
UEMP15T26,0.0016885765671214399
EXJPUSx,0.001618890557247136
DDURRG3M086SBEA,0.0016039535050093204
UEMPLT5,0.0015633596443196524
GS5,0.0015624172847154517
CONSPI,0.0015495752850687434
RETAILx,0.0015485570980944012
CPITRNSL,0.0015123021751293282
IPNCONGD,0.0014796749279857857
USFIRE,0.0014269884018339306
CUSR0000SAD,0.001419366385583501
PCEPI,0.0013838370821732018
DPCERA3M086SBEA,0.0013550647196431571
GS10,0.0013466287114118978
ANDENOx,0.0012975865317184326
WPSFD49502,0.0012184599961422339
CUSR0000SA0L2,0.001217648246326276
IPCONGD,0.0011856175010139332
CES0600000008,0.0011627961729225459
CPIULFSL,0.0011402582418072024
M2SL,0.0011298272534971932
CLF16OV,0.001123357522173286
WPSFD49207,0.0011210215941235948
EXUSUKx,0.0010954211375105187
CPIMEDSL,0.0010792551852884735
BUSLOANS,0.0010738671669102246
INVEST,0.0010617429567407865
M1SL,0.001016613755226711
WPSID62,0.0010101161819131938
CPIAPPSL,0.0009999042740662482
CMRMTSPLx,0.0009937367237895657
ISRATIOx,0.0009551123494979731
AWOTMAN,0.000931066165900756
IPB51222S,0.0008855076749075205
DTCOLNVHFNM,0.0008826062910897827
PPICMM,0.0008606104498950142
EXCAUSx,0.0008304834672897487
AMDMNOx,0.0008263401336625063
UNRATE,0.0007930640505613044
NONREVSL,0.0007916242977887069
REALLN,0.0007180640528483427
CES2000000008,0.0006999041616012169
DNDGRG3M086SBEA,0.000645902800691866
EXSZUSx,0.0006224280618805665
DSERRG3M086SBEA,0.0006221386022994692
UEMPMEAN,0.0005981816561579389
TWEXAFEGSMTHx,0.0005661910445933911
DTCTHFNM,0.0004396359645613764
CUSR0000SAC,0.00040046839295664933
OILPRICEx,0.000357609277594016
